title,author,journal,number,cites,year_pre_clean,cid,pubid,author_orig,year
Flexure with damage,"DM Manaker, DL Turcotte, LH Kellogg",Geophysical Journal International,"166 (3), 1368-1383",4,2006,1.79418E+19,qxL8FJ1GzNcC,"DM Manaker, DL Turcotte, LH Kellogg",2006
Flow-Based Ocean Reconstructions from Sparse Observations,"GJ Streletz, G Gebbie, B Hamann, O Kreylos, LH Kellogg, HJ Spero",AGU Fall Meeting Abstracts,,0,2013,NA,JoZmwDi-zQgC,"GJ Streletz, G Gebbie, B Hamann, O Kreylos, LH Kellogg, HJ Spero",2013
Fostering successful scientific software communities,"W Bangerth, T Heister, LJ Hwang, LH Kellogg",AGU Fall Meeting Abstracts,,0,2016,NA,q3CdL3IzO_QC,"W Bangerth, T Heister, L Hwang, LH Kellogg",2016
From outcrop to flow simulation: Constructing discrete fracture models from a LIDAR survey,"CE Wilson, A Aydin, M Karimi-Fard, LJ Durlofsky, S Amir, EE Brodsky, O Kreylos, LH Kellogg",AAPG bulletin,"95 (11), 1883-1905",56,2011,1.01587E+19,pqnbT2bcN3wC,"CE Wilson, A Aydin, M Karimi-Fard, LJ Durlofsky, S Amir, EE Brodsky, ...",2011
From the Exoplanetary Bestiary to the Exoplanetary Zoo,"CT Unterborn, WR Panero, LP Stixrude, LH Kellogg, CR Lithgow-Bertelloni, MR Diamond",AGU Fall Meeting Abstracts,,0,2014,NA,uJ-U7cs_P_0C,"CT Unterborn, WR Panero, LP Stixrude, LH Kellogg, ...",2014
"GEM plate boundary simulations for the Plate Boundary Observatory: A program for understanding the physics of earthquakes on complex fault networks via observations, theory and …","JB Rundle, PB Rundle, W Klein, JDS Martins, KF Tiampo, A Donnellan,  LH Kellogg","Earthquake Processes: Physical Modelling, Numerical Simulation and Data …",,34,2002,1.71376E+19,8k81kl-MbHgC,"JB Rundle, PB Rundle, W Klein, JDS Martins, KF Tiampo, A Donnellan, ...",2002
Generic earthquake simulator,"TE Tullis, KB Richards-Dinger, M Barall, JH Dieterich, EH Field, EM Heien, LH Kellogg, FF Pollitz, JB Rundle, MK Sachs, DL Turcotte, SN Ward, MB Yikilmaz",Seismological Research Letters,"83 (6), 959-963",30,2012,6.42473E+18,bnK-pcrLprsC,"TE Tullis, K Richards‐Dinger, M Barall, JH Dieterich, EH Field, EM Heien, ...",2012
"Geodetic measurements of four decades of horizontal strain near the White Wolf fault, Southern California","GW Bawden, A Donnellan, LH Kellogg, D Dong, JB Rundle",,,4,1994,6.06749E+18,L8Ckcad2t8MC,"G Bawden, A Donnellan, L Kellogg, D Dong, J Rundle",1994
"Geodetic measurements of horizontal strain near the White Wolf fault, Kern County, California, 1926–1993","GW Bawden, A Donnellan, LH Kellogg, D Dong, JB Rundle",Journal of Geophysical Research: Solid Earth,"102 (B3), 4957-4967",26,1997,1.45672E+19,hqOjcs7Dif8C,"GW Bawden, A Donnellan, LH Kellogg, D Dong, JB Rundle",1997
"Geoid anomalies and dynamic topography from time-dependent, spherical axisymmetric mantle convection","WS Kiefer, LH Kellogg",Physics of the earth and planetary interiors,"106 (3-4), 237-256",25,1998,1.1924E+19,0EnyYjriUFMC,"WS Kiefer, LH Kellogg",1998
GEOMORPHIC CONTROLS ON FLUVIAL TRAVERTINE MORPHOLOGY,"JL Florsheim, YS Cai, BF Di, P He, CM Huang, J Li, LH Kellogg, X Qiao, DY Sumner, SL Ustin, H Xinxin, Y Tang, MH Zhang",,2009 Portland GSA Annual Meeting,0,2009,NA,abG-DnoFyZgC,"JL FLORSHEIM, YS CAI, BF DI, P HE, CM HUANG, J LI, LH KELLOGG, ...",2009
"Growing the Earth's D""ayer: Effect of density variations at the core-mantle boundary",LH Kellogg,Geophysical research letters,"24 (22), 2749-2752",29,1997,8.72665E+18,LkGwnXOMwfcC,LH Kellogg,1997
Heating and Cooling in Small Undifferentiated Planetary Interiors,"LH Kellogg, M Weisfeiler, DL Turcotte",AGU Fall Meeting Abstracts,,0,2015,NA,Z5m8FVwuT1cC,"LH Kellogg, M Weisfeiler, DL Turcotte",2015
Heterogeneity in the lower mantle: Constraints from numerical models and chemical geodynamics,LH Kellogg,GEOCHIMICA ET COSMOCHIMICA ACTA,"66 (15 A), A391-A391",0,2002,NA,Y5dfb0dijaUC,LH KELLOGG,2002
High Rayleigh number thermo-chemical models of a dense boundary layer in D ″,"NL Montague, LH Kellogg, M Manga",Geophysical research letters,"25 (13), 2345-2348",36,1998,9.34976E+18,eQOLeE2rZwMC,"NL Montague, LH Kellogg, M Manga",1998
Homogenization of the mantle by convective mixing and diffusion,"LH Kellogg, DL Turcotte",Earth and planetary science letters,"81 (4), 371-378",56,1987,1.6377E+19,YsMSGLbcyi4C,"LH Kellogg, DL Turcotte",1987
How fast do small things move into and out of our world?,LH Kellogg,AGU Fall Meeting Abstracts,,0,2018,NA,WJVC3Jt7v1AC,LH Kellogg,2018
Immersive Visual Data Analysis For Geoscience Using Commodity VR Hardware,"O Kreylos, LH Kellogg",AGU Fall Meeting Abstracts,,0,2017,NA,4fGpz3EwCPoC,"O Kreylos, LH Kellogg",2017
Immersive visualization and analysis of LiDAR data,"O Kreylos, GW Bawden, LH Kellogg",International Symposium on Visual Computing,846-855,81,2008,1.18545E+19,Zph67rFs4hoC,"O Kreylos, GW Bawden, LH Kellogg",2008
Implications of a reservoir model for the evolution of deep carbon,"LH Kellogg, M Weisfeiler, DL Turcotte",AGU Fall Meeting Abstracts,,0,2016,NA,ruyezt5ZtCIC,"LH Kellogg, M Weisfeiler, DL Turcotte",2016
